sensor_type,device_type,timestamps,sin_from_avg_bedtime
sin_from_avg_bedtime,smartwatch,3.154714e+16,-0.14271151885830785
sin_from_avg_bedtime,smartwatch,3.154717e+16,-0.14067278287461774
sin_from_avg_bedtime,smartwatch,3.15472e+16,-0.13863404689092765
sin_from_avg_bedtime,smartwatch,3.154723e+16,-0.13659531090723753
sin_from_avg_bedtime,smartwatch,3.154726e+16,-0.13455657492354742
sin_from_avg_bedtime,smartwatch,3.154729e+16,-0.1325178389398573
sin_from_avg_bedtime,smartwatch,3.154732e+16,-0.1304791029561672
sin_from_avg_bedtime,smartwatch,3.154735e+16,-0.12844036697247707
sin_from_avg_bedtime,smartwatch,3.154738e+16,-0.12640163098878696
sin_from_avg_bedtime,smartwatch,3.154741e+16,-0.12436289500509685
sin_from_avg_bedtime,smartwatch,3.154744e+16,-0.12232415902140674
sin_from_avg_bedtime,smartwatch,3.154747e+16,-0.12028542303771662
sin_from_avg_bedtime,smartwatch,3.15475e+16,-0.11824668705402651
sin_from_avg_bedtime,smartwatch,3.154753e+16,-0.11620795107033641
sin_from_avg_bedtime,smartwatch,3.154756e+16,-0.11416921508664629
sin_from_avg_bedtime,smartwatch,3.154759e+16,-0.11213047910295618
sin_from_avg_bedtime,smartwatch,3.154762e+16,-0.11009174311926606
sin_from_avg_bedtime,smartwatch,3.154765e+16,-0.10805300713557595
sin_from_avg_bedtime,smartwatch,3.154768e+16,-0.10601427115188584
sin_from_avg_bedtime,smartwatch,3.154771e+16,-0.10397553516819573
sin_from_avg_bedtime,smartwatch,3.154774e+16,-0.10193679918450561
sin_from_avg_bedtime,smartwatch,3.154777e+16,-0.0998980632008155
sin_from_avg_bedtime,smartwatch,3.15478e+16,-0.0978593272171254
sin_from_avg_bedtime,smartwatch,3.154783e+16,-0.09582059123343528
sin_from_avg_bedtime,smartwatch,3.154786e+16,-0.09378185524974517
sin_from_avg_bedtime,smartwatch,3.154789e+16,-0.09174311926605505
sin_from_avg_bedtime,smartwatch,3.154792e+16,-0.08970438328236494
sin_from_avg_bedtime,smartwatch,3.154795e+16,-0.08766564729867483
sin_from_avg_bedtime,smartwatch,3.154798e+16,-0.08562691131498472
sin_from_avg_bedtime,smartwatch,3.154801e+16,-0.0835881753312946
sin_from_avg_bedtime,smartwatch,3.154804e+16,-0.08154943934760449
sin_from_avg_bedtime,smartwatch,3.154807e+16,-0.07951070336391437
sin_from_avg_bedtime,smartwatch,3.15481e+16,-0.07747196738022427
sin_from_avg_bedtime,smartwatch,3.154813e+16,-0.07543323139653416
sin_from_avg_bedtime,smartwatch,3.154816e+16,-0.07339449541284404
sin_from_avg_bedtime,smartwatch,3.154819e+16,-0.07135575942915393
sin_from_avg_bedtime,smartwatch,3.154822e+16,-0.06931702344546382
sin_from_avg_bedtime,smartwatch,3.154825e+16,-0.06727828746177371
sin_from_avg_bedtime,smartwatch,3.154828e+16,-0.0652395514780836
sin_from_avg_bedtime,smartwatch,3.154831e+16,-0.06320081549439348
sin_from_avg_bedtime,smartwatch,3.154834e+16,-0.06116207951070337
sin_from_avg_bedtime,smartwatch,3.154837e+16,-0.059123343527013254
sin_from_avg_bedtime,smartwatch,3.15484e+16,-0.057084607543323146
sin_from_avg_bedtime,smartwatch,3.154843e+16,-0.05504587155963303
sin_from_avg_bedtime,smartwatch,3.154846e+16,-0.05300713557594292
sin_from_avg_bedtime,smartwatch,3.154849e+16,-0.05096839959225281
sin_from_avg_bedtime,smartwatch,3.154852e+16,-0.0489296636085627
sin_from_avg_bedtime,smartwatch,3.154855e+16,-0.04689092762487258
sin_from_avg_bedtime,smartwatch,3.154858e+16,-0.04485219164118247
sin_from_avg_bedtime,smartwatch,3.154861e+16,-0.04281345565749236
sin_from_avg_bedtime,smartwatch,3.154864e+16,-0.040774719673802244
sin_from_avg_bedtime,smartwatch,3.154867e+16,-0.038735983690112136
sin_from_avg_bedtime,smartwatch,3.15487e+16,-0.03669724770642202
sin_from_avg_bedtime,smartwatch,3.154873e+16,-0.03465851172273191
sin_from_avg_bedtime,smartwatch,3.154876e+16,-0.0326197757390418
sin_from_avg_bedtime,smartwatch,3.154879e+16,-0.030581039755351685
sin_from_avg_bedtime,smartwatch,3.154882e+16,-0.028542303771661573
sin_from_avg_bedtime,smartwatch,3.154885e+16,-0.02650356778797146
sin_from_avg_bedtime,smartwatch,3.154888e+16,-0.02446483180428135
sin_from_avg_bedtime,smartwatch,3.154891e+16,-0.022426095820591234
sin_from_avg_bedtime,smartwatch,3.154894e+16,-0.020387359836901122
sin_from_avg_bedtime,smartwatch,3.154897e+16,-0.01834862385321101
sin_from_avg_bedtime,smartwatch,3.1549e+16,-0.0163098878695209
sin_from_avg_bedtime,smartwatch,3.154903e+16,-0.014271151885830786
sin_from_avg_bedtime,smartwatch,3.154906e+16,-0.012232415902140675
sin_from_avg_bedtime,smartwatch,3.154909e+16,-0.010193679918450561
sin_from_avg_bedtime,smartwatch,3.154912e+16,-0.00815494393476045
sin_from_avg_bedtime,smartwatch,3.154915e+16,-0.006116207951070337
sin_from_avg_bedtime,smartwatch,3.154918e+16,-0.004077471967380225
sin_from_avg_bedtime,smartwatch,3.154921e+16,-0.0020387359836901123
sin_from_avg_bedtime,smartwatch,3.154924e+16,-0.0
sin_from_avg_bedtime,smartwatch,3.154927e+16,0.0
sin_from_avg_bedtime,smartwatch,3.15493e+16,0.0020387359836901123
sin_from_avg_bedtime,smartwatch,3.154933e+16,0.004077471967380225
sin_from_avg_bedtime,smartwatch,3.154936e+16,0.006116207951070337
sin_from_avg_bedtime,smartwatch,3.154939e+16,0.00815494393476045
sin_from_avg_bedtime,smartwatch,3.154942e+16,0.010193679918450561
sin_from_avg_bedtime,smartwatch,3.154945e+16,0.012232415902140675
sin_from_avg_bedtime,smartwatch,3.154948e+16,0.014271151885830786
sin_from_avg_bedtime,smartwatch,3.154951e+16,0.0163098878695209
sin_from_avg_bedtime,smartwatch,3.154954e+16,0.01834862385321101
sin_from_avg_bedtime,smartwatch,3.154957e+16,0.020387359836901122
sin_from_avg_bedtime,smartwatch,3.15496e+16,0.022426095820591234
sin_from_avg_bedtime,smartwatch,3.154963e+16,0.02446483180428135
sin_from_avg_bedtime,smartwatch,3.154966e+16,0.02650356778797146
sin_from_avg_bedtime,smartwatch,3.154969e+16,0.028542303771661573
sin_from_avg_bedtime,smartwatch,3.154972e+16,0.030581039755351685
sin_from_avg_bedtime,smartwatch,3.154975e+16,0.0326197757390418
sin_from_avg_bedtime,smartwatch,3.154978e+16,0.03465851172273191
sin_from_avg_bedtime,smartwatch,3.154981e+16,0.03669724770642202
sin_from_avg_bedtime,smartwatch,3.154984e+16,0.038735983690112136
sin_from_avg_bedtime,smartwatch,3.154987e+16,0.040774719673802244
sin_from_avg_bedtime,smartwatch,3.15499e+16,0.04281345565749236
sin_from_avg_bedtime,smartwatch,3.154993e+16,0.04485219164118247
sin_from_avg_bedtime,smartwatch,3.154996e+16,0.04689092762487258
sin_from_avg_bedtime,smartwatch,3.154999e+16,0.0489296636085627
sin_from_avg_bedtime,smartwatch,3.155002e+16,0.05096839959225281
sin_from_avg_bedtime,smartwatch,3.155005e+16,0.05300713557594292
sin_from_avg_bedtime,smartwatch,3.155008e+16,0.05504587155963303
sin_from_avg_bedtime,smartwatch,3.155011e+16,0.057084607543323146
sin_from_avg_bedtime,smartwatch,3.155014e+16,0.059123343527013254
sin_from_avg_bedtime,smartwatch,3.155017e+16,0.06116207951070337
sin_from_avg_bedtime,smartwatch,3.15502e+16,0.06320081549439348
sin_from_avg_bedtime,smartwatch,3.155023e+16,0.0652395514780836
sin_from_avg_bedtime,smartwatch,3.155026e+16,0.06727828746177371
sin_from_avg_bedtime,smartwatch,3.155029e+16,0.06931702344546382
sin_from_avg_bedtime,smartwatch,3.155032e+16,0.07135575942915393
sin_from_avg_bedtime,smartwatch,3.155035e+16,0.07339449541284404
sin_from_avg_bedtime,smartwatch,3.155038e+16,0.07543323139653416
sin_from_avg_bedtime,smartwatch,3.155041e+16,0.07747196738022427
sin_from_avg_bedtime,smartwatch,3.155044e+16,0.07951070336391437
sin_from_avg_bedtime,smartwatch,3.155047e+16,0.08154943934760449
sin_from_avg_bedtime,smartwatch,3.15505e+16,0.0835881753312946
sin_from_avg_bedtime,smartwatch,3.155053e+16,0.08562691131498472
sin_from_avg_bedtime,smartwatch,3.155056e+16,0.08766564729867483
sin_from_avg_bedtime,smartwatch,3.155059e+16,0.08970438328236494
sin_from_avg_bedtime,smartwatch,3.155062e+16,0.09174311926605505
sin_from_avg_bedtime,smartwatch,3.155065e+16,0.09378185524974517
sin_from_avg_bedtime,smartwatch,3.155068e+16,0.09582059123343528
sin_from_avg_bedtime,smartwatch,3.155071e+16,0.0978593272171254
sin_from_avg_bedtime,smartwatch,3.155074e+16,0.0998980632008155
sin_from_avg_bedtime,smartwatch,3.155077e+16,0.10193679918450561
sin_from_avg_bedtime,smartwatch,3.15508e+16,0.10397553516819573
sin_from_avg_bedtime,smartwatch,3.155083e+16,0.10601427115188584
sin_from_avg_bedtime,smartwatch,3.155086e+16,0.10805300713557595
sin_from_avg_bedtime,smartwatch,3.155089e+16,0.11009174311926606
sin_from_avg_bedtime,smartwatch,3.155092e+16,0.11213047910295618
sin_from_avg_bedtime,smartwatch,3.155095e+16,0.11416921508664629
sin_from_avg_bedtime,smartwatch,3.155098e+16,0.11620795107033641
sin_from_avg_bedtime,smartwatch,3.155101e+16,0.11824668705402651
sin_from_avg_bedtime,smartwatch,3.155104e+16,0.12028542303771662
sin_from_avg_bedtime,smartwatch,3.155107e+16,0.12232415902140674
sin_from_avg_bedtime,smartwatch,3.15511e+16,0.12436289500509685
sin_from_avg_bedtime,smartwatch,3.155113e+16,0.12640163098878696
sin_from_avg_bedtime,smartwatch,3.155116e+16,0.12844036697247707
sin_from_avg_bedtime,smartwatch,3.155119e+16,0.1304791029561672
sin_from_avg_bedtime,smartwatch,3.155122e+16,0.1325178389398573
sin_from_avg_bedtime,smartwatch,3.155125e+16,0.13455657492354742
sin_from_avg_bedtime,smartwatch,3.155128e+16,0.13659531090723753
sin_from_avg_bedtime,smartwatch,3.155131e+16,0.13863404689092765
